----------------------------------------------------------------------------
## To change the localised text simply change the name after the single '|'
## Do not change anything in the 'Keys' collumn or the translation will fail
## Do not change / delete any line numbers or add new lines in the file.
----------------------------------------------------------------------------

----------------------------------------------------------------------------
KEYS						Translation
----------------------------------------------------------------------------
MSQ_Quest00					|A Second Chance
HelgenReborn_Quest23		|The Changing of the Guard - Ciel
HelgenReborn_Quest24		|The Changing of the Guard - Miles
----------------------------------------------------------------------------
Moonpath_Quest00			|By the Light Of the Moon
Moonpath_Quest01			|The Sweet Taste Of Elsweyr
Moonpath_Quest02			|Incursion
Moonpath_Quest03			|Rebuilding The Past
Moonpath_Quest04			|A Gift from a Friend
Moonpath_Quest05			|The Dinner Guest
Moonpath_Quest06			|Desert Style
----------------------------------------------------------------------------
MoonAndStar_Quest00			|Moon And Star
MoonAndStar_Quest01			|One Dog Ain't Enough
MoonAndStar_Quest02			|A Favor for Bal-Ran
MoonAndStar_Quest03			|A Favor for Belvadyr
MoonAndStar_Quest04			|A Favor for Selyse
MoonAndStar_Quest05			|A Favor for Toren
----------------------------------------------------------------------------
ProjectAHO_Quest00			|Wrong Place, Wrong Time
ProjectAHO_Quest01			|A Problematic Neighbour
ProjectAHO_Quest02			|No Corpse, No Case
ProjectAHO_Quest03			|An Erudite Beverage
ProjectAHO_Quest04			|Legacy of the Extinct Race
ProjectAHO_Quest05			|Freedom of Choice
ProjectAHO_Quest06			|Crack'n'Chirp
ProjectAHO_Quest07			|A Nostalgic Aroma
ProjectAHO_Quest08			|The Lady's Ring
ProjectAHO_Quest09			|A Burden of the Past
ProjectAHO_Quest10			|Orsimer of House Telvanni
ProjectAHO_Quest11			|A Legacy of Ancestors
ProjectAHO_Quest12			|Signs of Attention
ProjectAHO_Quest13			|Forgotten Art
ProjectAHO_Quest14			|Be Aware of Darkness
ProjectAHO_Quest15			|Shadow of the Past
----------------------------------------------------------------------------
TeldrynSerious_Quest00		|Investigation
TeldrynSerious_Quest01		|A Matter of Trust
TeldrynSerious_Quest02		|A Refugee's Memories
----------------------------------------------------------------------------
WheelsOfLull_Quest00		|Deep Down
WheelsOfLull_Quest01		|Sky Spy
WheelsOfLull_Quest02		|The Mer In The High Castle
WheelsOfLull_Quest03		|The Boiling Foundry
WheelsOfLull_Quest04		|The Brass Forest
WheelsOfLull_Quest05		|At The Bottom Of The World
WheelsOfLull_Quest06		|The Wheels Of Lull
WheelsOfLull_Quest07		|Up And Atom
WheelsOfLull_Quest08		|Water Under The Bridge
WheelsOfLull_Quest09		|Upkeep
WheelsOfLull_Quest10		|Riddling Rails
WheelsOfLull_Quest11		|Closing Ports
WheelsOfLull_Quest12		|Under Pressure
----------------------------------------------------------------------------
GrayCowl_Quest00			|The Call of Gray Cowl of Nocturnal
GrayCowl_Quest01			|Reward of Coldharbour
GrayCowl_Quest02			|Time For The Farewells
GrayCowl_Quest03			|Memories of the Umbranox
GrayCowl_Quest04			|The Curse of Sadraaka
GrayCowl_Quest05			|Bury Valen Dreth
GrayCowl_Quest06			|Desert Wolf Pelts
GrayCowl_Quest07			|Duneripper Blood Phials
GrayCowl_Quest08			|I Want My Amulet Back!
GrayCowl_Quest09			|Praetorian Dynamo Cores
----------------------------------------------------------------------------
Undeath_Quest00				|In Their Footsteps
Undeath_Quest01				|Exhuming Power
Undeath_Quest02				|Arkay The Enemy
Undeath_Quest03				|Infernal Alchemy
Undeath_Quest04				|Scourg Barrow
Undeath_Quest05				|Black Book: Whispers of the Veil
Undeath_Quest06				|The Path of Transcendance
----------------------------------------------------------------------------
Wyrmstooth_Quest00			|Wyrmstooth
Wyrmstooth_Quest01			|Barrow Of The Wyrm
Wyrmstooth_Quest02			|Animal Bounty
Wyrmstooth_Quest03			|Bandit Bounty
Wyrmstooth_Quest04			|Vampire Bounty
Wyrmstooth_Quest05			|Warlock Bounty
Wyrmstooth_Quest06			|A Howl Load of Trouble
Wyrmstooth_Quest07			|A Priceless Commodity
Wyrmstooth_Quest08			|Reclaiming The Past
Wyrmstooth_Quest09			|Repaying A Debt
Wyrmstooth_Quest10			|Retrieving Embersunder
Wyrmstooth_Quest11			|Robbed Blind
Wyrmstooth_Quest12			|Someone With Backbone
Wyrmstooth_Quest13			|Unwanted Guests
Wyrmstooth_Quest14			|Wrap Me Up
Wyrmstooth_Quest15			|Blind Robber's Cache
Wyrmstooth_Quest16			|Stickler In The Mud
Wyrmstooth_Quest17			|The Naked Nord
----------------------------------------------------------------------------
TBOO_Quest00				|Rebirth
TBOO_Quest01				|Forgotten Memory
TBOO_Quest02				|What Remains
TBOO_Quest03				|Child of Darkness
TBOO_Quest04				|Baby Steps
TBOO_Quest05				|Sneaking In
TBOO_Quest06				|The Dastardly Duo
TBOO_Quest07				|A Haunting Echo
TBOO_Quest08				|The Taste of Blood
TBOO_Quest09				|A Witch in Whiterun
TBOO_Quest10				|A Family that Kills Together
TBOO_Quest11				|An Orc Walks into a Bar
TBOO_Quest12				|A Breath of Fresh Air
TBOO_Quest13				|Sibling Rivalry
TBOO_Quest14				|The Cults of Darkness
TBOO_Quest15				|Two Souls, One Destiny
TBOO_Quest16				|The True Brotherhood
TBOO_Quest17				|The Dead Drops
TBOO_Quest18				|Dead Drop 2: The Debt Collector
TBOO_Quest19				|Dead Drop 3: The Influencer
TBOO_Quest20				|Dead Drop 4: The Investigator
TBOO_Quest21				|Dead Drop 5: The Thalmor
TBOO_Quest22				|Dead Drop 6: The Partner
TBOO_Quest23				|Dead Drop 7: The Herald
TBOO_Quest24				|One Small Favor
----------------------------------------------------------------------------
LOTD_Main_Quest00_V			|An Interesting Prospect
LOTD_Main_Quest01_V			|Dragonborn Gallery
LOTD_Main_Quest02_V			|Akaviri Rising
LOTD_Main_Quest03_V			|An Interesting Prospect.
LOTD_Main_Quest04_V			|Dragonborn Gallery
LOTD_Main_Quest05_V			|Night At The Museum
LOTD_Main_Quest06_V			|Shadows Of One's Past
LOTD_Main_Quest07_V			|Shattered Legacy
LOTD_Main_Quest08_V			|The Ayleid Crossroads
LOTD_Main_Quest09_V			|It Belongs In A Museum
LOTD_Main_Quest10_V			|The Vaults Of Deepholme
LOTD_Main_Quest11_V			|Finders Keepers
LOTD_Main_Quest12_V			|Research Project
----------------------------------------------------------------------------
LOTD_Main_Quest00_N			|An Interesting Prospect
LOTD_Main_Quest01_N			|Dragonborn Gallery
LOTD_Main_Quest02_N			|Akaviri Rising
LOTD_Main_Quest03_N			|An Interesting Prospect.
LOTD_Main_Quest04_N			|Dragonborn Gallery
LOTD_Main_Quest05_N			|Night At The Museum
LOTD_Main_Quest06_N			|Shadows Of One's Past
LOTD_Main_Quest07_N			|Shattered Legacy
LOTD_Main_Quest08_N			|The Ayleid Crossroads
LOTD_Main_Quest09_N			|It Belongs In A Museum
LOTD_Main_Quest10_N			|The Vaults Of Deepholme
LOTD_Main_Quest11_N			|Finders Keepers
LOTD_Main_Quest12_N			|Research Project
----------------------------------------------------------------------------
LOTD_Main_Quest00_E			|An Interesting Prospect
LOTD_Main_Quest01_E			|Dragonborn Gallery
LOTD_Main_Quest02_E			|Akaviri Rising
LOTD_Main_Quest03_E			|An Interesting Prospect.
LOTD_Main_Quest04_E			|Dragonborn Gallery
LOTD_Main_Quest05_E			|Night At The Museum
LOTD_Main_Quest06_E			|Shadows Of One's Past
LOTD_Main_Quest07_E			|Shattered Legacy
LOTD_Main_Quest08_E			|The Ayleid Crossroads
LOTD_Main_Quest09_E			|It Belongs In A Museum
LOTD_Main_Quest10_E			|The Vaults Of Deepholme
LOTD_Main_Quest11_E			|Finders Keepers
LOTD_Main_Quest12_E			|Research Project
----------------------------------------------------------------------------
LOTD_Exp_Quest00_V			|A Room With A View
LOTD_Exp_Quest01_V			|Digging Up Explorers
LOTD_Exp_Quest02_V			|The Excavation of Windcaller Pass
LOTD_Exp_Quest03_V			|The Excavation of the Ruins of Rkund
LOTD_Exp_Quest04_V			|The Visage
LOTD_Exp_Quest05_V			|Trial Of Trinimac
LOTD_Exp_Quest06_V			|Eternal Ice
LOTD_Exp_Quest07_V			|A Path To The Heavens
LOTD_Exp_Quest08_V			|The Book Of Wonders
LOTD_Exp_Quest09_V			|Tools Of The Trade
LOTD_Exp_Quest10_V			|Branching Out
LOTD_Exp_Quest11_V			|Branching Out... Again
LOTD_Exp_Quest12_V			|Branching Out... Ever More
LOTD_Exp_Quest13_V			|One Man's Junk
LOTD_Exp_Quest14_V			|Relic Hunt
----------------------------------------------------------------------------
LOTD_Exp_Quest00_N			|A Room With A View
LOTD_Exp_Quest01_N			|Digging Up Explorers
LOTD_Exp_Quest02_N			|The Excavation of Windcaller Pass
LOTD_Exp_Quest03_N			|The Excavation of the Ruins of Rkund
LOTD_Exp_Quest04_N			|The Visage
LOTD_Exp_Quest05_N			|Trial Of Trinimac
LOTD_Exp_Quest06_N			|Eternal Ice
LOTD_Exp_Quest07_N			|A Path To The Heavens
LOTD_Exp_Quest08_N			|The Book Of Wonders
LOTD_Exp_Quest09_N			|Tools Of The Trade
LOTD_Exp_Quest10_N			|Branching Out
LOTD_Exp_Quest11_N			|Branching Out... Again
LOTD_Exp_Quest12_N			|Branching Out... Ever More
LOTD_Exp_Quest13_N			|One Man's Junk
LOTD_Exp_Quest14_N			|Relic Hunt
----------------------------------------------------------------------------
LOTD_Exp_Quest00_E			|A Room With A View
LOTD_Exp_Quest01_E			|Digging Up Explorers
LOTD_Exp_Quest02_E			|The Excavation of Windcaller Pass
LOTD_Exp_Quest03_E			|The Excavation of the Ruins of Rkund
LOTD_Exp_Quest04_E			|The Visage
LOTD_Exp_Quest05_E			|Trial Of Trinimac
LOTD_Exp_Quest06_E			|Eternal Ice
LOTD_Exp_Quest07_E			|A Path To The Heavens
LOTD_Exp_Quest08_E			|The Book Of Wonders
LOTD_Exp_Quest09_E			|Tools Of The Trade
LOTD_Exp_Quest10_E			|Branching Out
LOTD_Exp_Quest11_E			|Branching Out... Again
LOTD_Exp_Quest12_E			|Branching Out... Ever More
LOTD_Exp_Quest13_E			|One Man's Junk
LOTD_Exp_Quest14_E			|Relic Hunt
----------------------------------------------------------------------------
LOTD_Journals_Quest00		|Sanamia's Journals - Mzulft
LOTD_Journals_Quest01		|Sanamia's Journals - Valthume
LOTD_Journals_Quest02		|Sanamia's Journals - Fort Frostmoth
LOTD_Journals_Quest03		|Sanamia's Journals - Lake Ilinalta
LOTD_Journals_Quest04		|Sanamia's Journals - Burial Ruin
LOTD_Journals_Quest05		|The Phantom Cache
----------------------------------------------------------------------------
LOTD_Notes_Quest00			|Auryen's Notes: Dagger Of Symmachus
LOTD_Notes_Quest01			|Auryen's Notes: Cyrus' Saber
LOTD_Notes_Quest02			|Auryen's Notes: Orgnum's Coffer
LOTD_Notes_Quest03			|Auryen's Notes: Ice Blade Of The Monarch
LOTD_Notes_Quest04			|Auryen's Notes: Shalidor's Stone
LOTD_Notes_Quest05			|Auryen's Notes: The Bloodworm Helm
LOTD_Notes_Quest06			|Auryen's Notes: The Warlock's Ring
LOTD_Notes_Quest07			|Auryen's Notes: The Dragonmail Cuirass
LOTD_Notes_Quest08			|Auryen's Notes: The Fists Of Randagulf
LOTD_Notes_Quest09			|Auryen's Notes: The Tools Of Kagrenac
--------------------------------------------------------------------------------------------------------
LOTD_Misc_Quest00			LOTD_Misc_Quest00			|Auryen Morellus and the Chamber of Secrets
LOTD_Misc_Quest01			LOTD_Misc_Quest01			|Much Ado About Snow Elves
LOTD_Misc_Quest02			LOTD_Misc_Quest02			|The Hand Of Glory
LOTD_Misc_Quest03			LOTD_Misc_Quest03			|Breaking The Curse
LOTD_Misc_Quest04			LOTD_Misc_Quest04			|Ongar's Kegbreaker
LOTD_Misc_Quest05			LOTD_Misc_Quest05			|Back To The Drawing Board
LOTD_Misc_Quest06			LOTD_Misc_Quest06			|Lord's Mail
LOTD_Misc_Quest07			LOTD_Misc_Quest07			|Guardians Of The Divine
----------------------------------------------------------------------------
3DNPC_Main_Quest00			|A Debt of Blood
3DNPC_Main_Quest01			|A Rose Without Thorns
3DNPC_Main_Quest02			|As You Like It
3DNPC_Main_Quest03			|Bards, Beasts, and Beauties
3DNPC_Main_Quest04			|Birds of a Feather
3DNPC_Main_Quest05			|Brother and Keeper
3DNPC_Main_Quest06			|Forgotten Lore
3DNPC_Main_Quest07			|Honor's Calling
3DNPC_Main_Quest08			|Idle Dreams
3DNPC_Main_Quest09			|Pit Dogs
3DNPC_Main_Quest10			|Stolen Property
3DNPC_Main_Quest11			|The Aldmeri Prisoner
3DNPC_Main_Quest12			|The Children Fair
3DNPC_Main_Quest13			|The Gales of Guilt
3DNPC_Main_Quest14			|The Immortal Coil
3DNPC_Main_Quest15			|The Loudest Whisper
3DNPC_Main_Quest16			|The Radiant Dark
3DNPC_Main_Quest17			|The Raven of Anvil
3DNPC_Main_Quest18			|The Sleeping Giant
3DNPC_Main_Quest19			|The Teleportation Machine
3DNPC_Main_Quest20			|The Way of the Nine
3DNPC_Main_Quest21			|The Way to a Big Oaf's Heart
3DNPC_Main_Quest22			|To Warm Sands
3DNPC_Main_Quest23			|Vigilance and Virtue
----------------------------------------------------------------------------
3DNPC_BOK_Quest00			|From the Blood of Kings
3DNPC_BOK_Quest01			|Faces and Names
3DNPC_BOK_Quest02			|The Bloodsmith
3DNPC_BOK_Quest03			|The Harbinger of Us All
3DNPC_BOK_Quest04			|Blood and Bones
3DNPC_BOK_Quest05			|The Beast Who Cannot Be Slain
3DNPC_BOK_Quest06			|An End to Keep
----------------------------------------------------------------------------
3DNPC_DS_Quest00			|Darkened Steel
3DNPC_DS_Quest01			|A Daedra in the Dark
3DNPC_DS_Quest02			|Cat and Mouse
3DNPC_DS_Quest03			|Deathbroker
3DNPC_DS_Quest04			|A Path Of Bones
3DNPC_DS_Quest05			|The Face of the Ghost
----------------------------------------------------------------------------
3DNPC_Misc_Quest00			|A Crabber's Wife
3DNPC_Misc_Quest01			|A Spell for Rumarin
3DNPC_Misc_Quest02			|A Thousand Words
3DNPC_Misc_Quest03			|Art and Sacrifice
3DNPC_Misc_Quest04			|Azzarian's Gold
3DNPC_Misc_Quest05			|Bite the Hand That Feeds You
3DNPC_Misc_Quest06			|Black Robes
3DNPC_Misc_Quest07			|Children of the Dust
3DNPC_Misc_Quest08			|Fenced In
3DNPC_Misc_Quest09			|A Hunter's Quarry
3DNPC_Misc_Quest10			|Mogo's Mead
3DNPC_Misc_Quest11			|Relic's Revival
3DNPC_Misc_Quest12			|Robber's Refuge
3DNPC_Misc_Quest13			|Spell it Out For Me
3DNPC_Misc_Quest14			|A Good Fit
3DNPC_Misc_Quest15			|The Carver and The Collector
3DNPC_Misc_Quest16			|The Conspiracy of the 7000 Steps
3DNPC_Misc_Quest17			|The Curse
3DNPC_Misc_Quest18			|The Elven Sword
3DNPC_Misc_Quest19			|The House on the Hill
3DNPC_Misc_Quest20			|The Law Always Wins
3DNPC_Misc_Quest21			|The Milk-Drinker
3DNPC_Misc_Quest22			|The Paper Mirror
3DNPC_Misc_Quest25			|The Queen of Mereth
3DNPC_Misc_Quest23			|Thrice Bitten, Once Shy
3DNPC_Misc_Quest24			|Transformation
----------------------------------------------------------------------------
Vigilant_Main_Quest00		|Vigilant of Stendarr
Vigilant_Main_Quest01		|Bloodsucker
Vigilant_Main_Quest02		|He Who Cannot Be Touched
Vigilant_Main_Quest03		|Lazy Afternoon
Vigilant_Main_Quest04		|The Eye of Madness
Vigilant_Main_Quest05		|Dine and Dash
Vigilant_Main_Quest06		|Thus Spoke Khajiit
Vigilant_Main_Quest07		|Old Regrets
Vigilant_Main_Quest08		|No Mercy
Vigilant_Main_Quest09		|Art of Mercy
Vigilant_Main_Quest10		|The Endless Fall
Vigilant_Main_Quest11		|The Landing
Vigilant_Main_Quest12		|The Witch of Ivarstead
Vigilant_Main_Quest13		|Empty Cells
Vigilant_Main_Quest14		|Remnants
Vigilant_Main_Quest15		|The Blood Matron
Vigilant_Main_Quest16		|Child of Oblivion
Vigilant_Main_Quest17		|Coldharbour
Vigilant_Main_Quest18		|Aetherius
Vigilant_Main_Quest19		|Exsultate Jubilate
Vigilant_Main_Quest20		|A Million Cats
Vigilant_Main_Quest21		|Sacred Anatomancer
----------------------------------------------------------------------------
Vigilant_Side_Quest00		|Archer of Kyne
Vigilant_Side_Quest01		|The Black Worm
Vigilant_Side_Quest02		|Funeral
Vigilant_Side_Quest03		|More Skooma
Vigilant_Side_Quest04		|Paladin Melus
Vigilant_Side_Quest05		|Knight of Arkay
Vigilant_Side_Quest06		|Knight of Zenithar
Vigilant_Side_Quest07		|Knight of Julianos
Vigilant_Side_Quest08		|Knight of Kynareth
Vigilant_Side_Quest09		|Madness
Vigilant_Side_Quest10		|Pitier
Vigilant_Side_Quest11		|Kyne's Dragon
Vigilant_Side_Quest12		|Greymarch
----------------------------------------------------------------------------
Vigilant_Memory_Quest00		|Knight of Hounds
Vigilant_Memory_Quest01		|Johan the Fool
Vigilant_Memory_Quest02		|Pelinal the Bloody
Vigilant_Memory_Quest03		|The Grand Inquisitor
Vigilant_Memory_Quest04		|The Mad King
Vigilant_Memory_Quest05		|Adabal
Vigilant_Memory_Quest06		|After the Storm
Vigilant_Memory_Quest07		|The Final Night
Vigilant_Memory_Quest08		|Remains of the Miracle
Vigilant_Memory_Quest09		|Temptation of Marukh
Vigilant_Memory_Quest10		|The Nameless Bard
Vigilant_Memory_Quest11		|Beyond the Shores of Madness
----------------------------------------------------------------------------
Vigilant_Radiant_Quest00	|Bounty: Book
Vigilant_Radiant_Quest01	|Bounty: Chick Trader
Vigilant_Radiant_Quest02	|Bounty: Daedric Relic
Vigilant_Radiant_Quest03	|Bounty: Horn
Vigilant_Radiant_Quest04	|Bounty: Piper
Vigilant_Radiant_Quest05	|Bounty: Summoner
Vigilant_Radiant_Quest06	|Bounty: Vampire
Vigilant_Radiant_Quest07	|Bounty: Witch
Vigilant_Radiant_Quest08	|Radiance in the Dead
Vigilant_Radiant_Quest09	|Radiance in the Duplicate
Vigilant_Radiant_Quest10	|Radiance in the Spawn
Vigilant_Radiant_Quest11	|Radiance in the Vampire
Vigilant_Radiant_Quest12	|Radiance in the Witch Hunter
----------------------------------------------------------------------------
